Food name,Carbohydrate,Protein,Fat,Fiber
chocolate_cake,57.6,3.79,21.85,2.4
baklava,29.41,5.46,19.83,1.83
eggs_benedict,30.18,30.15,54.85,2.17
club_sandwich,42.24,55.83,46.16,3.2
mussels,6.28,20.23,3.81,0.0
spaghetti_bolognese,83.86,34.58,21.66,11.1
bread_pudding,71.83,7.66,7.33,1.25
shrimp_and_grits,42.23,45.65,39.79,2.66
escargots,1.7,13.69,1.19,0.0
onion_rings,114.83,13.79,54.37,7.33
foie_gras,0.61,1.48,5.7,0.0
red_velvet_cake,36.26,4.19,23.38,0.35
donuts,28.76,3.68,13.62,1.26
cup_cakes,39.63,2.61,15.04,1.65
guacamole,2.55,0.55,4.09,1.84
sashimi,0.25,5.33,1.24,0.0
bruschetta,6.24,1.32,4.85,0.46
beef_carpaccio,1.97,13.19,13.13,0.21
nachos,26.46,67.11,96.18,4.0
chocolate_mousse,32.46,8.36,32.32,1.21
ice_cream,31.15,4.62,14.52,0.92
bibimbap,154.87,36.38,22.39,6.39
hot_and_sour_soup,10.14,6.01,2.82,1.17
fish_and_chips,70.54,42.83,25.55,4.83
panna_cotta,18.82,2.8,34.4,0.0
tacos,20.63,9.44,9.95,2.96
dumplings,12.47,1.99,1.72,0.39
cheese_plate,8.35,44.78,49.82,0.0
falafel,3.72,1.07,7.31,0.9
crab_cakes,14.94,23.34,22.99,1.15
gnocchi,51.67,7.67,1.51,2.55
greek_salad,7.4,5.13,14.93,1.52
macarons,6.0,0.85,1.9,0.49
spaghetti_carbonara,133.41,44.01,32.84,7.48
oysters,2.48,4.72,1.15,0.0
peking_duck,42.35,29.88,41.48,2.61
chicken_curry,7.52,28.25,10.86,1.49
hot_dog,1.28,5.61,14.09,0.0
caprese_salad,4.69,13.2,16.74,1.09
pancakes,11.32,2.56,3.88,
french_fries,48.48,4.01,17.23,4.45
pulled_pork_sandwich,80.9,34.21,7.49,2.88
beef_tartare,5.72,32.61,43.91,1.43
caesar_salad,22.8,10.21,39.7,5.75
tuna_tartare,1.85,7.71,6.82,1.0
chicken_quesadilla,92.46,60.53,50.2,7.21
hummus,8.57,4.74,5.76,3.6
grilled_salmon,0.0,50.17,28.03,0.0
lobster_bisque,8.02,14.07,14.37,0.33
pho,78.39,47.11,14.22,5.81
scallops,0.7,2.67,0.11,0.0
macaroni_and_cheese,47.38,9.68,16.39,2.38
waffles,24.68,5.93,10.58,
pad_thai,45.59,64.07,44.65,4.38
miso_soup,3.53,5.79,2.97,1.11
takoyaki,5.78,2.95,2.45,0.22
lobster_roll_sandwich,33.05,42.14,21.57,2.03
fried_calamari,37.45,17.61,14.51,1.33
filet_mignon,0.0,22.49,14.55,0.0
churros,8.43,0.48,7.66,0.18
poutine,65.54,28.38,56.6,5.07
apple_pie,42.5,2.38,13.75,2.0
frozen_yogurt,37.58,5.22,6.26,0.0
ramen,110.71,47.7,35.03,6.01
pizza,35.66,12.19,10.37,2.46
french_onion_soup,39.73,21.04,23.84,2.32
prime_rib,0.0,19.16,23.07,0.0
breakfast_burrito,72.25,28.72,28.07,2.68
baby_back_ribs,2.2,8.01,7.48,0.05
gyoza,7.45,3.53,3.8,0.48
strawberry_shortcake,52.33,6.66,28.83,3.87
spring_rolls,19.28,3.75,6.22,0.87
cannoli,18.04,5.98,15.09,0.71
lasagna,34.72,43.91,32.45,3.92
paella,33.94,24.89,22.46,1.04
beignets,39.96,5.96,8.49,1.26
hamburger,40.27,34.28,26.56,
fried_rice,44.92,5.55,4.06,1.51
pork_chop,0.0,40.21,17.36,0.0
chicken_wings,2.64,4.53,6.51,0.11
deviled_eggs,0.51,3.24,5.85,0.13
sushi,37.89,7.81,18.75,3.23
beet_salad,24.23,11.05,51.75,4.6
omelette,1.39,21.13,25.32,0.07
ravioli,4.53,2.12,1.56,0.25
ceviche,2.64,15.49,1.35,0.45
croque_madame,57.14,36.83,38.15,2.8
garlic_bread,17.94,3.59,7.14,1.08
edamame,6.91,9.23,4.03,4.03
huevos_rancheros,39.2,28.55,42.85,11.78
tiramisu,35.11,8.29,44.36,0.33
steak,0.0,57.81,40.77,0.0
grilled_cheese_sandwich,28.41,11.74,22.88,1.35
seaweed_salad,7.98,2.9,7.26,1.72
french_toast,23.15,7.28,10.71,1.11
creme_brulee,30.48,8.26,60.32,0.0
clam_chowder,21.03,6.63,10.01,2.54
risotto,54.09,14.38,13.26,1.46
carrot_cake,73.03,6.55,29.72,1.55
samosa,23.91,3.49,17.24,2.08
cheesecake,31.88,6.88,28.13,0.5
